property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_to_room_ratio
flat,experion windchants,sector 112,3.75,13383.0,2802.06231786595,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3.0,3.0,2,21.0,West,Relatively New,2802.0,2225.56,,0.0,1.0,0.0,0.0,0.0,0,159,934.0207726219833
flat,green homes,sector 52,1.85,7872.0,2350.10162601626,Super Built up area 2350(218.32 sq.m.),3.0,3.0,3,7.0,,Moderately Old,2350.0,,,0.0,1.0,0.0,0.0,0.0,1,28,783.3672086720867
flat,emaar mgf emerald floors premier,sector 65,2.8,16969.0,1650.06777064058,Carpet area: 1650 (153.29 sq.m.),3.0,3.0,3+,3.0,,Relatively New,,,1650.0,1.0,1.0,0.0,0.0,0.0,0,38,550.0225902135267
flat,mapsko royale ville,sector 82,1.15,6424.0,1790.161892901619,Super Built up area 1790(166.3 sq.m.),3.0,4.0,2,15.0,North-East,Relatively New,1790.0,,,0.0,1.0,0.0,1.0,0.0,0,104,596.7206309672064
flat,adarsh nagar,sector 12,0.65,6190.0,1050.0807754442649,Carpet area: 1050 (97.55 sq.m.),3.0,3.0,1,1.0,North-West,New Property,,,1050.0,0.0,0.0,0.0,0.0,0.0,0,42,350.0269251480883
flat,orchid petals,sector 49,2.45,11887.0,2061.075124085135,Super Built up area 2061(191.47 sq.m.),3.0,3.0,3,0.0,North-East,Relatively New,2061.0,,,1.0,0.0,0.0,0.0,0.0,1,49,687.0250413617117
house,independent,sector 26,6.75,27778.0,2430.0,Plot area 270(225.75 sq.m.),3.0,3.0,3,2.0,North-East,Moderately Old,,2430.0,,0.0,0.0,0.0,0.0,0.0,1,27,810.0
house,independent,sector 4,3.3,14667.0,2250.0,Plot area 250(209.03 sq.m.),3.0,3.0,2,1.0,North-East,Old Property,,2250.0,,0.0,0.0,0.0,0.0,0.0,1,34,750.0
flat,ireo skyon,sector 60,2.15,23344.0,921.0075394105552,Super Built up area 1524(141.58 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 921 sq.ft. (85.56 sq.m.),2.0,3.0,2,5.0,East,Relatively New,1524.0,1250.0,921.0,0.0,1.0,0.0,0.0,0.0,0,49,460.5037697052776
flat,ss the leaf,sector 85,1.2,9677.0,1240.0537356618786,Super Built up area 1772(164.62 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),2.0,2.0,3+,9.0,East,Relatively New,1772.0,,1240.0,0.0,0.0,1.0,0.0,0.0,1,148,620.0268678309393
